task,pair,n_pairs,acc_first,acc_second,b_first_only_correct,c_second_only_correct,p_exact_two_sided,p_minority_gains_one,p_majority_loses_one,p_one_pair_swaps
sentiment,floor_vs_ml,153,0.3725,0.7843,15,78,0.0,0.0,0.0,0.0
sentiment,floor_vs_glm_generic,153,0.3725,0.8627,6,81,0.0,0.0,0.0,0.0
sentiment,floor_vs_glm_production,153,0.3725,0.8301,7,77,0.0,0.0,0.0,0.0
sentiment,floor_vs_mistral_production,153,0.3725,0.8431,7,79,0.0,0.0,0.0,0.0
sentiment,ml_vs_glm_generic,153,0.7843,0.8627,7,19,0.028959,0.052239,0.043285,0.075519
sentiment,ml_vs_glm_production,153,0.7843,0.8301,12,19,0.281042,0.377086,0.361595,0.47313
sentiment,ml_vs_mistral_production,153,0.7843,0.8431,9,18,0.122078,0.184933,0.168638,0.247789
sentiment,glm_generic_vs_glm_production,153,0.8627,0.8301,8,3,0.226562,0.387695,0.34375,0.548828
sentiment,glm_generic_vs_mistral_production,153,0.8627,0.8431,5,2,0.453125,0.726562,0.6875,1.0
sentiment,glm_production_vs_mistral_production,153,0.8301,0.8431,3,5,0.726562,1.0,1.0,1.0
risk,floor_vs_ml,106,0.4057,0.6792,8,37,1.5e-05,4.1e-05,2.5e-05,6.6e-05
risk,floor_vs_glm_generic,106,0.4057,0.717,3,36,0.0,0.0,0.0,0.0
risk,floor_vs_glm_production,106,0.4057,0.5,4,14,0.030884,0.063568,0.049042,0.096252
risk,floor_vs_mistral_production,106,0.4057,0.5943,4,24,0.00018,0.000546,0.000311,0.000912
risk,ml_vs_glm_generic,106,0.6792,0.717,19,23,0.643969,0.760792,0.755229,0.877614
risk,ml_vs_glm_production,106,0.6792,0.5,36,17,0.01266,0.019834,0.017533,0.027008
risk,ml_vs_mistral_production,106,0.6792,0.5943,27,18,0.232693,0.301996,0.291215,0.371298
risk,glm_generic_vs_glm_production,106,0.717,0.5,26,3,1.5e-05,5.9e-05,2.7e-05,0.000104
risk,glm_generic_vs_mistral_production,106,0.717,0.5943,18,5,0.010622,0.022656,0.016901,0.03469
risk,glm_production_vs_mistral_production,106,0.5,0.5943,6,16,0.052479,0.09314,0.078354,0.133801
